Repo Name,Total Adhered,Total Method Count,Percent,Experience,Size
duelyst,5878,7283,80.7,7.2,10.0
dva,65,68,95.6,9.3,87.0
easydiffusion,693,831,83.4,7.8,40.0
EasySpider,4200,4483,93.7,6.8,5.0
ecommerce_sanity_stripe,8721,9331,93.5,6.0,1.0
edex-ui,815,958,85.1,7.2,58.0
egg,319,324,98.5,9.8,100.0
eleventy,171,179,95.5,10.3,81.0
EmbedAI,1,1,100.0,8.0,9.0
emotion,101,109,92.7,10.1,100.0
enzyme,78,89,87.6,10.4,100.0
eruda,90,95,94.7,8.8,16.0
es6tutorial,378,414,91.3,8.1,100.0
ethereumbook,27,27,100.0,8.8,100.0
evergreen,709,722,98.2,8.9,100.0
evil-huawei,1,1,100.0,6.2,10.0
Fakeflix,57,58,98.3,5.0,2.0
fastify,487,553,88.1,9.5,100.0
feather,10,10,100.0,8.2,42.0
fetch,50,61,82.0,11.6,69.0
flexsearch,381,481,79.2,9.0,27.0
floatui,13,13,100.0,4.3,6.0
flowy,58,75,77.3,8.0,5.0
flutter-in-action,794,825,96.2,7.9,100.0
flux,442,458,96.5,11.0,100.0
flv.js,20,25,80.0,10.0,14.0
framework7,805,858,93.8,10.1,100.0
fuite,426,448,95.1,9.3,3.0
fullPage.js,1288,1460,88.2,10.0,100.0
Functional-Light-JS,47,49,95.9,9.7,30.0
gatsby,1780,1937,91.9,10.2,100.0
genshin-wish-export,11821,12971,91.1,6.5,24.0
git-history,75,76,98.7,9.2,17.0
gitbook,491,523,93.9,11.8,82.0
gitfolio,12,14,85.7,7.7,20.0
github-do-not-ban-us,20,20,100.0,7.8,100.0
github-profile-readme-generator,6,6,100.0,5.9,83.0
github-readme-stats,61,64,95.3,6.1,100.0
gluon,15,19,78.9,5.0,10.0
gogocode,394,412,95.6,8.5,13.0
gpt-ai-assistant,55,56,98.2,8.0,4.0
gridstudio,5183,5760,90.0,8.7,11.0
gulp,5,5,100.0,11.0,100.0
gun,2297,2655,86.5,10.4,100.0
hackathon-starter,63,71,88.7,10.3,100.0
hashlips_art_engine,2,3,66.7,6.3,10.0
headless-recorder,15,15,100.0,9.0,21.0
heroicons,8,8,100.0,8.9,28.0
homepage,37,39,94.9,7.0,100.0
How-To-Ask-Questions-The-Smart-Way,1,1,100.0,7.0,49.0
howtheysre,1,1,100.0,7.4,36.0
htmx,111832,123402,90.6,10.7,100.0
hyperapp,11,11,100.0,10.5,100.0
I-Still-Dont-Care-About-Cookies,21,23,91.3,6.8,13.0
icons,6,6,100.0,8.5,41.0
immer,6,6,100.0,10.2,100.0
ios_rule_script,155,203,76.4,5.9,8.0
iRingo,45,59,76.3,6.5,11.0
javascript-algorithms,241,265,90.9,6.9,100.0
JavaScript-Course-by-Clever-Programmer-,72,93,77.4,9.0,1.0
javascript-interview-questions,12,12,100.0,6.1,86.0
JavaScript,540,585,92.3,5.5,100.0
jira_clone,40,42,95.2,11.0,1.0
js-cookie,9,9,100.0,10.3,53.0
json-server,35,40,87.5,10.7,70.0
kit,390,486,80.2,8.3,100.0
koa,24,26,92.3,11.0,100.0
kodluyoruz-frontend-101-egitimi,1847,1984,93.1,3.7,3.0
konsta,158,168,94.0,8.2,13.0
koodo-reader,4069,5021,81.0,5.8,10.0
lax.js,82,89,92.1,8.9,14.0
layui,1217,1302,93.5,7.2,44.0
lazysizes,391,487,80.3,12.1,45.0
leetcode-patterns,13,13,100.0,6.1,25.0
leetcode2,1048,1097,95.5,4.7,100.0
leetcode,25,27,92.6,6.7,76.0
lenis,270,282,95.7,6.8,18.0
leonsans,100,145,69.0,8.5,2.0
lexical,429,528,81.2,7.8,100.0
lifeRestart,13765,15548,88.5,6.7,31.0
lighthouse-ci,91,93,97.8,9.7,100.0
lighthouse,5194,5677,91.5,10.2,100.0
lingo3d,8392,11630,72.2,4.0,5.0
live,1363,1524,89.4,5.5,2.0
localForage,672,1007,66.7,11.3,95.0
lossless-cut,125,143,87.4,6.9,94.0
lottie-web,15134,17089,88.6,9.2,84.0
luban-h5,32,44,72.7,6.8,11.0
Luckysheet,1694,2068,81.9,6.3,74.0
macintosh.js,274,3355,8.2,9.4,14.0
MagicMirror,146,179,81.6,9.0,100.0
magnetW,73,77,94.8,7.0,3.0
markdown-it,580,638,90.9,10.9,73.0
marko,1234,1273,96.9,9.9,100.0
marktext,1114,1209,92.1,8.5,100.0
materialize,1105,1268,87.1,10.3,100.0
material,2180,2268,96.1,10.8,100.0
matter-js,1706,1872,91.1,11.1,24.0
mdx-deck,58,59,98.3,10.2,61.0
mdx,56,64,87.5,9.9,100.0
mermaid,504,533,94.6,8.5,100.0
metrics,1,1,100.0,6.5,55.0
microdiff,1,1,100.0,5.6,7.0
minter-dapp,3269,3861,84.7,5.0,2.0
mithril.js,404,506,79.8,11.1,100.0
monaco-editor,60,73,82.2,9.3,100.0
mostly-adequate-guide,113,122,92.6,10.4,100.0
motionity,768,1081,71.0,9.3,3.0
Motrix,78,80,97.5,6.7,67.0
mpvue,5667,6212,91.2,10.4,100.0
nanoid,17,18,94.4,9.6,100.0
ncc,99,139,71.2,9.8,56.0
ndb,35,39,89.7,10.7,11.0
NeteaseCloudMusicApi,437,468,93.4,6.9,84.0
next.js,1371,1486,92.3,9.6,100.0
nginx-proxy-manager,86,91,94.5,8.6,100.0
nginxconfig.io,15,16,93.8,7.8,48.0
nightmare,351,403,87.1,11.4,100.0
node-elm,1399,1554,90.0,6.5,4.0
node-express-boilerplate,36,38,94.7,6.9,17.0
node-express-course,6015,6436,93.5,5.0,1.0
node-lessons,261,299,87.3,9.7,19.0
node,44154,54453,81.1,10.9,100.0
normalizr,13,13,100.0,10.9,55.0
notion-zh_CN,20,22,90.9,8.0,2.0
NotionNext,282,307,91.9,5.6,40.0
nprogress,24,27,88.9,12.0,33.0
nylas-mail,2219,2302,96.4,10.9,89.0
octotree,335,379,88.4,10.8,65.0
odoo,15223,17694,86.0,8.1,100.0
omni,627,704,89.1,7.2,12.0
openai-quickstart-node,3,3,100.0,6.6,8.0
OpenAPI-Specification,3,3,100.0,11.4,100.0
OpenLens,1,1,100.0,10.3,11.0
openzeppelin-contracts,106,125,84.8,8.8,100.0
PairDrop,82,240,34.2,7.2,65.0
PapaParse,471,508,92.7,11.0,100.0
parcel,875,947,92.4,9.8,100.0
parse-server,501,538,93.1,10.3,100.0
particles.js,83,93,89.2,11.5,13.0
pell,41,48,85.4,9.6,5.0
pipedream,46844,49403,94.8,7.8,100.0
pkg,293,349,84.0,9.5,67.0
plyr,81,84,96.4,9.7,100.0
popmotion,154,159,96.9,10.5,57.0
portfolio_website,10,11,90.9,5.0,2.0
pose-animator,33,44,75.0,nan,0.0
postcat,186,211,88.2,6.0,10.0
preact,806,852,94.6,10.5,100.0
preguntas-entrevista-react,7,7,100.0,5.2,38.0
preline,378,433,87.3,6.7,9.0
prettier-plugin-tailwindcss,1,1,100.0,9.5,22.0
prettier,669,787,85.0,10.8,100.0
project_3D_developer_portfolio,5,5,100.0,6.0,1.0
project_syncfusion_dashboard,8,8,100.0,4.5,2.0
project_web3.0,3,3,100.0,5.5,2.0
pulsar,1291,1424,90.7,11.1,100.0
QQFlacMusicDownloader,1300,1486,87.5,4.8,6.0
quasar,1068,1132,94.3,8.4,100.0
quicklink,16,18,88.9,10.1,35.0
react-beautiful-dnd,5,5,100.0,9.4,100.0
react-boilerplate,121,130,93.1,10.6,100.0
react-developer-roadmap,1,1,100.0,8.0,15.0
react-grid-layout,3,3,100.0,9.6,100.0
react-helmet,4,4,100.0,10.8,58.0
react-loadable,12,12,100.0,10.1,85.0
react-motion,21,21,100.0,11.6,68.0
react-native-web,236,243,97.1,10.3,100.0
react-testing-library,37,44,84.1,9.8,100.0
react-virtualized,155,173,89.6,10.8,100.0
react-window,74,83,89.2,10.5,31.0
reactjs-interview-questions,4,7,57.1,7.1,91.0
react,3,3,100.0,8.4,100.0
readme-md-generator,38,38,100.0,8.6,24.0
readme.so,30,30,100.0,5.8,55.0
RealChar,82,107,76.6,6.3,34.0
Recoil,8,8,100.0,9.5,99.0
redux-saga,622,767,81.1,10.7,100.0
ReLaXed,30,32,93.8,10.4,16.0
remote-jobs,2,4,50.0,7.2,100.0
responsively-app,172,180,95.6,6.6,78.0
return-youtube-dislike,15,15,100.0,5.4,100.0
revanced-builder,50,59,84.7,5.1,36.0
rollup,3556,4253,83.6,10.5,100.0
RSSHub,4200,4254,98.7,7.1,100.0
scalene,26,29,89.7,8.2,40.0
Script,115,158,72.8,5.5,26.0
scrollreveal,153,168,91.1,10.5,10.0
semantic-release,26,26,100.0,9.8,100.0
serverless,518,538,96.3,10.7,100.0
shadowrocket-rules,5,6,83.3,10.0,2.0
sharp,767,824,93.1,10.0,100.0
shepherd,84,97,86.6,10.0,94.0
slash,3,5,60.0,4.9,60.0
slick,162,178,91.0,11.3,100.0
snapdrop,7,23,30.4,7.4,42.0
snowpack,267,491,54.4,10.2,100.0
social-analyzer,32,38,84.2,6.2,17.0
Sortable,847,895,94.6,10.8,100.0
spicetify-cli,41,50,82.0,6.4,83.0
spug,226,261,86.6,6.3,8.0
stitches,138,149,92.6,9.7,49.0
strapi,1791,1875,95.5,8.3,100.0
style2paints,14286,15892,89.9,9.3,8.0
superagent,146438,170366,86.0,7.1,21.0
svelte,799,898,89.0,9.8,100.0
SysMocap,507,609,83.3,9.0,1.0
tailblocks,5,197,2.5,6.1,7.0
techxuexi-js,43,46,93.5,4.2,9.0
terminalizer,52,59,88.1,9.3,8.0
tesseract.js,34,39,87.2,9.3,73.0
the-super-tiny-compiler,9,9,100.0,10.4,5.0
tips,3,3,100.0,10.0,68.0
ToolJet,388,431,90.0,6.0,100.0
trilium,10582,11339,93.3,8.5,92.0
trix,155,166,93.4,12.0,53.0
tsdx,8,9,88.9,10.0,85.0
turbo,24,24,100.0,11.2,92.0
TwitchAdSolutions,10,11,90.9,7.5,6.0
uBlock,2279,2667,85.5,10.1,100.0
uFuzzy,1359,1509,90.1,9.3,3.0
umami,211,214,98.6,8.0,100.0
UnblockNeteaseMusic,114,118,96.6,7.8,9.0
uni-app,28876,31697,91.1,6.4,100.0
unlighthouse,3,3,100.0,7.5,13.0
uPlot,122,156,78.2,10.0,38.0
uppy,264,283,93.3,10.0,100.0
uptime-kuma,163,176,92.6,7.1,100.0
vanillawebprojects,73,79,92.4,7.3,19.0
vant-weapp,202,218,92.7,7.3,100.0
van,256,256,100.0,6.5,10.0
velocity,885,1100,80.5,11.5,44.0
vivus,105,131,80.2,10.6,22.0
Voyager,215,225,95.6,8.3,12.0
vue-admin-template,20,25,80.0,8.1,11.0
vue-cli,693,739,93.8,9.3,100.0
vue-router,1010,1085,93.1,10.0,100.0
Vue.Draggable,415,435,95.4,10.3,29.0
vuepress,188,199,94.5,9.3,100.0
vuex,137,145,94.5,10.0,100.0
WantWords,38,56,67.9,6.5,2.0
WatermelonDB,115,130,88.5,8.7,100.0
Web-Dev-For-Beginners,161,200,80.5,6.0,100.0
web-vitals,17,19,89.5,10.7,23.0
WebFundamentals,5104,5297,96.4,11.3,100.0
WebGL-Fluid-Simulation,106,132,80.3,7.0,1.0
WebGPT,23,25,92.0,8.3,7.0
webpack-dashboard,37,39,94.9,10.2,49.0
webtorrent,45,57,78.9,9.9,100.0
wechat-app-mall,1116,1346,82.9,8.5,24.0
wechat-bot,0,1,0.0,5.7,10.0
WeChatVideoDownloader,7,7,100.0,8.0,1.0
wekan,3995,4286,93.2,8.8,100.0
wepy,920,956,96.2,8.8,100.0
whatsapp-web.js,451,483,93.4,6.6,84.0
why-did-you-render,146,152,96.1,8.7,27.0
wifi-card,2,2,100.0,8.0,44.0
win11React,24,28,85.7,3.4,39.0
win12,150,178,84.3,2.8,16.0
winbox,116,134,86.6,8.3,7.0
windmill,31,32,96.9,8.5,46.0
wouter,48,50,96.0,9.3,33.0
x-spreadsheet,1640,1734,94.6,8.3,28.0
x-ui,6314,6856,92.1,5.8,5.0
yapi,30214,32725,92.3,8.1,76.0
yarn,221,234,94.4,11.7,100.0
You-Dont-Need-jQuery,1,1,100.0,10.1,82.0
You-Dont-Need-Lodash-Underscore,30,30,100.0,10.1,100.0
You-Dont-Need-Momentjs,7,7,100.0,10.3,37.0
zdog,521,548,95.1,10.2,5.0
ZeroNet,4527,4939,91.7,9.3,100.0
zx,2,3,66.7,9.4,43.0
